Date,amount,Purchase,Category,Link
1/4/10,9423.8,Computers,Routine,14425.pdf
1/5/10,6297.69,Computers,Routine,14428.pdf
1/6/10,6292.58,Cell phone service,Routine,14443.pdf
1/6/10,128960.15,Car Rentals,Routine,14445.pdf
1/12/10,34039.74,Cell phone service,Routine,14452.pdf
1/20/10,127087.81,Car Rentals,Routine,14470.pdf
1/21/10,8500,Lexis Nexis,Routine,14471.pdf
1/26/10,5695,Lexis Nexis,Routine,14491.pdf
2/1/10,6612.05,Cell phone service,Routine,14497.pdf
2/1/10,32894,Internal Audit,Routine,14501.pdf
2/3/10,38448.49,Cell phone service,Routine,14506.pdf
2/3/10,36673.28,Cell phone service,Routine,14509.pdf
2/17/10,8500,Lexis Nexis,Routine,14535.pdf
2/17/10,13720,License Plate Reader,Surveillance,14536.pdf
2/19/10,13968,ocd vision,Unknown,14554.pdf
2/19/10,11174.4,ocd vision,Unknown,14555.pdf
2/23/10,129240.15,Car Rentals,Routine,14562.pdf
2/23/10,5440,Lexis Nexis,Routine,14568.pdf
2/25/10,6383.2,Training and Equipment,Routine,14577.pdf
3/2/10,12436.24,car repair and seizure,Routine,14579.pdf
3/3/10,20174.65,car repair and seizure,Routine,14586.pdf
3/11/10,44750,Computers,Routine,14610.pdf
3/22/10,5780,LEXIs Nexis,Routine,14618.pdf
3/22/10,8500,LEXIs Nexis,Routine,14619.pdf
3/24/10,9000,DEA conference,Routine,14659.pdf
3/24/10,6180.66,car repair and seizure,Routine,14660.pdf
3/24/10,146560.87,Car Rentals,Routine,14661.pdf
4/1/10,6612.05,Cell phone Service,Routine,14675.pdf
4/1/10,13377.34,"unclear: ""utilized during narcotic related investigations""",Unknown,14678.pdf
4/1/10,12080,"unclear: ""utilized during narcotic related investigations""",Unknown,14681.pdf
4/1/10,6033.23,Computers,Routine,14682.pdf
4/1/10,20100,Star Witness,Routine,14683.pdf
4/1/10,19348.81,Cell phone service,Routine,14688.pdf
4/7/10,36661.9,Cell phone service,Routine,14695.pdf
4/16/10,8500,lexis nexis,Routine,14716.pdf
4/21/10,5865,lexis nexis,Routine,14722.pdf
5/3/10,6612.05,AT&T Trunking,Routine,14738.pdf
5/5/10,117287.8,Computers,Routine,14754.pdf
5/5/10,134398,Car Rentals,Routine,14757.pdf
5/5/10,24600,Computers,Routine,14761.pdf
5/11/10,73615.88,Cell phone service,Routine,14775.pdf
5/11/10,43316.1,Cell phone service,Routine,14777.pdf
5/21/10,8500,lexis nexis,Routine,14784.pdf
5/21/10,5865,lexis nexis,Routine,14785.pdf
5/24/10,9869.6,car repair and seizure,Routine,14811.pdf
5/24/10,11850.85,car repair and seizure,Routine,14812.pdf
5/25/10,301500,Training and Equipment,Routine,14813.pdf
5/25/10,33500,Training and Equipment,Routine,14814.pdf
5/26/10,5963.91,car repair and seizure,Routine,14826.pdf
6/8/10,8594,Computers,Routine,14870.pdf
6/14/10,59016.7,Training and Equipment,Routine,14874.pdf
6/18/10,213754.83,Squad Cars,Routine,14889.pdf
6/21/10,8500,lexis nexis,Routine,14892.pdf
6/21/10,5790.5,lexis nexis,Routine,14893.pdf
6/21/10,251654.28,Car Rentals,Routine,14894.pdf
6/21/10,15661.93,Car Rentals,Routine,14895.pdf
7/12/10,20194.41,Cell phone service,Routine,14944.pdf
7/12/10,19241.49,Cell phone service,Routine,14946.pdf
7/13/10,36840.93,Cell phone service,Routine,14948.pdf
7/13/10,36968.82,Cell phone service,Routine,14950.pdf
7/13/10,37509.42,Cell phone service,Routine,14952.pdf
7/14/10,132593.39,Car Rentals,Routine,14961.pdf
7/19/10,8500,lexis nexis,Routine,14969.pdf
7/23/10,6080.5,lexis nexis,Routine,14974.pdf
7/23/10,8362.5,Training and Equipment,Routine,14976.pdf
8/2/10,5322.14,Cell phone service,Routine,14998.pdf
8/12/10,16366.35,GPS Trackers,Surveillance,15015.pdf
8/12/10,5220,black widow Surveillance,Surveillance,15016.pdf
8/19/10,8500,lexis nexis,Routine,15018.pdf
8/20/10,5960.5,lexis nexis,Routine,15022.pdf
8/25/10,5740.81,Cell phone service,Routine,15038.pdf
9/2/10,115146.65,Car Rentals,Routine,15062.pdf
9/2/10,23599.34,Car Rentals,Routine,15063.pdf
9/14/10,6558.3,Training and Equipment,Routine,15094.pdf
9/22/10,8500,lexis nexis,Routine,15107.pdf
9/24/10,7644,GPS air time,Routine,15112.pdf
9/24/10,5929.75,lexis nexis,Routine,15113.pdf
9/24/10,5092.67,car repair and seizure,Routine,15114.pdf
9/27/10,9600,car repair and seizure,Routine,15120.pdf
9/27/10,16075,Cameras,Surveillance,15121.pdf
9/29/10,157300,Cell Site Simulator,Surveillance,15127.pdf
10/1/10,7060,postal equipment,Routine,15139.pdf
10/7/10,5326.62,car repair and seizure,Routine,15150.pdf
10/7/10,125941.02,Car Rentals,Routine,15155.pdf
10/8/10,205000,Blue Light Cameras,Surveillance,15157.pdf
10/20/10,38822.2,Cell phone service,Routine,15164.pdf
10/20/10,40339.26,Cell phone service,Routine,15166.pdf
10/20/10,21521.02,Cell phone service,Routine,15168.pdf
10/20/10,21538,Cell phone service,Routine,15169.pdf
10/20/10,21073.6,Cell phone service,Routine,15170.pdf
10/21/10,8500,lexis nexis,Routine,15179.pdf
10/21/10,41433.29,Cell phone service,Routine,15180.pdf
10/22/10,5881,lexis nexis,Routine,15182.pdf
10/22/10,5239.08,Gang Intelligence Report,Routine,15183.pdf
10/22/10,5487.4,Computers,Routine,15184.pdf
10/27/10,5494.61,Cell phone service,Routine,15196.pdf
11/1/10,14790,redacted,Unknown,15204.pdf
11/1/10,5240,Cameras,Surveillance,15205.pdf
11/9/10,128055.19,Car Rentals,Routine,15219.pdf
11/16/10,11840,Cameras,Surveillance,15231.pdf
11/17/10,8500,lexis nexis,Routine,15232.pdf
11/29/10,5959,lexis nexis,Routine,15237.pdf
12/1/10,38929.58,Cell phone service,Routine,15244.pdf
12/2/10,6918.14,car repair and seizure,Routine,15249.pdf
12/7/10,41809.32,Cell phone service,Routine,15261.pdf
12/15/10,8500,lexis nexis,Routine,15281.pdf
12/15/10,5326.62,car repair and seizure,Routine,15282.pdf
12/15/10,130550.33,Car Rentals,Routine,15283.pdf
1/3/11,8019.93,Computers,Routine,15298.pdf
1/5/11,5895,lexis nexis,Routine,15300.pdf
1/7/11,42539.01,Cell phone service,Routine,15303.pdf
1/10/11,21406.17,Cell phone service,Routine,15304.pdf
1/10/11,5355,Cameras,Surveillance,15305.pdf
1/21/11,8500,lexis nexis,Routine,15318.pdf
1/21/11,5938.04,car repair and seizure,Routine,15325.pdf
1/25/11,5655.5,lexis nexis,Routine,15339.pdf
2/1/11,129615.73,Car Rentals,Routine,15350.pdf
2/7/11,14028.3,GPS Trackers,Surveillance,15363.pdf
2/9/11,5586,Computers,Routine,15364.pdf
2/16/11,42032.02,Cell phone service,Routine,15376.pdf
2/18/11,129509.8,Car Rentals,Routine,15378.pdf
2/18/11,8500,LEXIs nexis,Routine,15379.pdf
3/1/11,5818.75,LEXIs nexis,Routine,15388.pdf
3/4/11,135384.6,Car Rentals,Routine,15411.pdf
3/9/11,138866,Cell phone metadata,Surveillance,15415.pdf
3/10/11,21171.97,Cell phone service,Routine,15417.pdf
3/17/11,8500,LEXIs nexis,Routine,15426.pdf
3/23/11,133693.88,Car Rentals,Routine,15499.pdf
3/24/11,16464.34,car repair and seizure,Routine,15501.pdf
3/25/11,20957.55,Cell phone service,Routine,15512.pdf
4/1/11,5817,lexis nexis,Routine,15516.pdf
4/18/11,6000,Cell phone metadata,Surveillance,15548.pdf
4/18/11,5042.55,Narcotics Field Testing Kit,Routine,15553.pdf
4/18/11,6600.24,car repair and seizure,Routine,15557.pdf
4/19/11,131498.37,Car Rentals,Routine,15558.pdf
4/21/11,8500,lexis nexis,Routine,15561.pdf
4/21/11,5720.5,lexis nexis,Routine,15565.pdf
4/25/11,42855.57,Cell phone service,Routine,15569.pdf
4/27/11,40796.45,Cell phone service,Routine,15589.pdf
5/9/11,20348.64,Cell phone service,Routine,15635.pdf
5/11/11,38328.54,Cell phone service,Routine,15639.pdf
5/13/11,8500,lexis nexis,Routine,15647.pdf
5/23/11,135435.75,Car Rentals,Routine,15664.pdf
5/23/11,20759.59,Cell phone service,Routine,15665.pdf
5/24/11,19020.34,Cell phone service,Routine,15672.pdf
6/1/11,6336.28,car repair and seizure,Routine,15692.pdf
6/1/11,35108.95,Cell phone service,Routine,15694.pdf
6/2/11,5971.25,LEXIS NEXIS,Routine,15698.pdf
6/3/11,6385.5,Computers,Routine,15704.pdf
6/6/11,14028.3,Freight Security trackers,Surveillance,15711.pdf
6/14/11,19451.28,Cell phone service,Routine,15721.pdf
6/16/11,8500,LEXIS NEXIS,Routine,15724.pdf
6/16/11,5500,Cell phone metadata,Surveillance,15726.pdf
6/23/11,129020.01,Car Rentals,Routine,15745.pdf
6/27/11,11245,Computers,Routine,15747.pdf
7/8/11,5901,LEXIS NEXIS,Routine,15763.pdf
7/25/11,16746.28,Cell phone service,Routine,15778.PDF
8/4/11,44520,Research Electronics,Unknown,15786.pdf
8/4/11,128777.97,Car Rentals,Routine,15788.pdf
8/8/11,9625,Cell phone metadata,Surveillance,15793.pdf
8/8/11,33617.49,Cell phone service,Routine,15801.pdf
8/8/11,30977.4,Cell phone service,Routine,15802.pdf
8/16/11,5552.5,LEXIS NEXIS,Routine,15805.odf
8/16/11,27407.53,Cell phone service,Routine,15809.pdf
8/17/11,8500,LEXIS NEXIS,Routine,15810.pdf
8/17/11,17960.19,Cell phone service,Routine,15826.pdf
8/26/11,8500,LEXIS NEXIS,Routine,15826.pdf
9/1/11,5955.39,Cell phone service,Routine,15830.PDF
9/1/11,5200,Cell phone service,Routine,15836.pdf
9/1/11,138467.13,Car Rentals ,Routine,15847.pdf
9/13/11,17309.03,Cell phone service,Routine,15860.pdf
9/14/11,6275,Cell phone metadata,Surveillance,15861.pdf
9/14/11,19857.56,Cell phone service,Routine,15871.pdf
10/3/11,47000,Research Electronics,Unknown,15886.pdf
10/3/11,5569.25,Web Access to ?? ,Unknown,15893.pdf
10/3/11,8500,Web Access to ?? ,Unknown,15894.pdf
10/12/11,25256.23,Cell phone service,Routine,15908.pdf
10/19/11,8500,Web Access to ?? ,Unknown,15913.pdf
11/1/11,23750,Research Electronics,Unknown,15921.pdf
11/1/11,17861.19,Cell phone service,Routine,15924.pdf
11/7/11,8518.12,car repair and seizure,Routine,15950.pdf
11/15/11,6002,LEXIS NEXIS,Routine,15959.pdf
11/15/11,25445.03,Cell phone service,Routine,15960.pdf
11/15/11,17058.97,Cell phone service,Routine,15961.pdf
11/16/11,7828,Sandoval Custom Creations for ?? cameral and ??,Unknown,15964.pdf
11/16/11,8500,Web Access to ?? ,Unknown,15970.pdf
11/16/11,11392.5,Web Access to ?? ,Unknown,15971.pdf
11/23/11,17240.45,CPD Dept of fleet mngmt,Routine,15980.pdf
12/27/11,14388,Freight Security Net,Unknown,16005.pdf
12/27/11,7500,Cell Site Simulator,Surveillance,16006.pdf
1/3/12,8505.5,Web Access to ?? ,Unknown,16012.pdf
1/11/12,6160,Web Access to ?? ,Unknown,16027.pdf
1/18/12,25292.15,Cell phone service,Routine,16042.pdf
1/18/12,25577.62,Cell phone service,Routine,16043.pdf
1/18/12,16555.49,Cell phone service,Routine,16044.pdf
1/18/12,17420.76,Cell phone service,Routine,16045.pdf
1/19/12,8500,Web Access to ?? ,Unknown,16046.pdf
1/23/12,164190.27,Car Rentals,Routine,16050.pdf
1/26/12,138866,Cell phone metadata,Surveillance,16056.pdf
2/1/12,6097,lexis nexis,Routine,16062.pdf
2/1/12,5718.54,car repair and seizure,Routine,16066.pdf
2/1/12,126310.34,Car Rentals,Routine,16073.pdf
2/7/12,8240.65,car repair and seizure,Routine,16083.pdf
2/10/12,25684.42,Cell phone service,Routine,16090.pdf
2/16/12,17276.52,Cell phone service,Routine,16092.pdf
2/23/12,8503.5,lexis nexis,Routine,16102.pdf
2/27/12,71408.31,Car Rentals,Routine,16104.pdf
3/6/12,117007.63,Car Rentals,Routine,16130.PDF
3/6/12,6262.55,??????,Unknown,
3/9/12,25553.83,Cell phone service,Routine,16144.PDF
3/14/12,8501.5,??????,Unknown,16150.PDF
3/14/12,18244.1,Cell phone service,Routine,16151.PDF
3/16/12,6960,??????,Unknown,16152.PDF
3/20/12,136448.53,Car Rentals,Routine,16159.PDF
4/2/12,6374.5,??????,Unknown,16172.PDF
4/2/12,5267.68,US Marshalls Service/CPD,Unknown,16173.PDF
4/4/12,8400,DEA Conference,Routine,16191.PDF
4/17/12,25591.07,Cell phone service,Routine,16230.pdf
4/17/12,16729.07,Cell phone service,Routine,16233.pdf
4/18/12,8504.5,lexis nexis,Routine,16244.pdf
5/1/12,129618.09,Car Rentals,Routine,16264.pdf
5/10/12,25975.14,Cell phone service,Routine,16297.pdf
5/10/12,8975.15,car repair and seizure,Routine,16300.pdf
5/16/12,8531.25,lexis nexis,Routine,16309.pdf
5/16/12,16209.2,Cell phone service,Routine,16310.pdf
6/1/12,121672.27,Car Rentals,Routine,16336.pdf
6/1/12,10791,GPS Trackers,Surveillance,16338.pdf
6/13/12,12123.25,LEXIS NEXIS,Routine,16351.pdf
6/21/12,8786.5,LEXIS NEXIS,Routine,16356.pdf
6/21/12,16333.04,Cell phone service,Routine,16359.pdf
7/2/12,46469,Cell phone service,Routine,16379.pdf
7/2/12,128527.97,Car Rentals,Routine,16381.pdf
7/2/12,18820,Narcotics Field Testing Kit,Routine,16382.pdf
7/10/12,11675,Cell phone metadata,Surveillance,16392.pdf
7/20/12,619088,Squad Cars,Routine,16402.pdf
7/20/12,20000,DARE programming,Routine,16403.pdf
7/26/12,8510.5,LEXIS NEXIS,Routine,16414.pdf
7/26/12,12670.9,lexis nexis,Routine,16417.pdf
8/2/12,16507.48,Cell phone service,Routine,16432.pdf
8/2/12,126577.77,Car Rentals,Routine,16434.pdf
8/3/12,360605.11,ballistics lab,Routine,16437.pdf
8/3/12,26544.08,Cell phone service,Routine,16438.pdf
8/14/12,91530,Cameras,Surveillance,16447.pdf
8/17/12,8511.5,lexis nexis,Routine,16450.pdf
8/17/12,16936.57,Cell phone service,Routine,16452.pdf
8/20/12,6466.75,lexis nexis,Routine,16454.pdf
8/21/12,12790,Training and Equipment,Routine,16457.pdf
8/22/12,130009.57,Car Rentals,Routine,16466.pdf
8/24/12,26395.36,Cell phone service,Routine,16468.pdf
9/19/12,8500,lexis nexis,Routine,16511.pdf
10/1/12,17575.7,Cell phone service,Routine,16528.pdf
10/1/12,26481.89,Cell phone service,Routine,16529.pdf
10/1/12,125619.22,Car Rentals,Routine,16530.pdf
10/2/12,6023.1,car repair and seizure,Routine,16533.pdf
10/2/12,8711.42,car repair and seizure,Routine,16534.pdf
10/3/12,6409.25,lexis nexis,Routine,16535.pdf
10/15/12,26442.49,Cell phone service,Routine,16542.pdf
10/16/12,15871.88,Cell phone service,Routine,16543.pdf
10/22/12,6521.75,lexis nexis,Routine,16553.pdf
11/1/12,130699.65,Car Rentals,Routine,16573.pdf
11/15/12,8273.1,freight security trackers,Surveillance,16581.pdf
11/15/12,27389,Computers,Routine,16582.pdf
11/19/12,8500,lexis nexis,Routine,16593.pdf
11/19/12,137171.67,Cell phone metadata,Surveillance,16599.pdf
11/27/12,16095.31,Cell phone service,Routine,16601.pdf
12/3/12,6598.5,lexis nexis,Routine,16612.pdf
12/3/12,26445.8,Cell phone service,Routine,16614.pdf
12/3/12,125524.22,Car Rentals,Routine,16615.pdf
12/7/12,37000.67,Cell phone metadata,Surveillance,16623.pdf
